ID,Team,Country,NameF,NameL,Weight,Height,DOB,Hometown,Prov,Pos,Age,HeightFt,HtIn,BMI
1,Women,Canada,Meghan,Agosta,148,5.7,12-02-1987,Ruthven,Ont.,Forward,35,5.58,67,23
2,Women,Canada,Rebecca,Johnston,148,5.9,24-09-1989,Sudbury,Ont.,Forward,32,5.75,69,22
3,Women,Canada,Laura,Stacey,156,5.1,05-05-1994,Kleinburg,Ont.,Forward,28,5.83,70,22
4,Women,Canada,Jennifer,Wakefield,172,5.1,15-06-1989,Pickering,Ont.,Forward,33,5.83,70,25
5,Women,Canada,Jillian,Saulnier,144,5.5,07-03-1992,Halifax,N.S.,Forward,30,5.42,65,24
6,Women,Canada,Mélodie,Daoust,159,5.6,07-01-1992,Valleyfield,Que.,Forward,30,5.5,66,26
7,Women,Canada,Bailey,Bram,150,5.8,05-09-1990,St. Anne,Man.,Forward,31,5.67,68,23
8,Women,Canada,Brianne,Jenner,156,5.9,04-05-1991,Oakville,Ont.,Forward,31,5.75,69,23
9,Women,Canada,Sarah,Nurse,140,5.8,04-01-1995,Hamilton,Ont.,Forward,27,5.67,68,21
10,Women,Canada,Haley,Irwin,170,5.7,06-06-1988,Thunder Bay,Ont.,Forward,34,5.58,67,27
11,Women,Canada,Natalie,Spooner,180,5.1,17-10-1990,Scarborough,Ont.,Forward,31,5.83,70,26
12,Women,Canada,Emily,Clark,130,5.7,28-11-1995,Saskatoon,Sask.,Forward,26,5.58,67,20
13,Women,Canada,Marie-Philip,Poulin,160,5.7,28-03-1991,Beauceville,Que.,Forward,31,5.58,67,25
14,Women,Canada,Blayre,Turnbull,155,5.7,15-07-1993,Stellarton,N.S.,Forward,28,5.58,67,24
15,Women,Canada,Jocelyne,Larocque,139,5.6,19-05-1988,Ste. Anne,Man.,Defence,34,5.5,66,22
16,Women,Canada,Brigette,Lacquette,180,5.6,11-10-1992,Mallard,Man.,Defence,29,5.5,66,29
17,Women,Canada,Lauriane,Rougeau,167,5.8,12-04-1990,Beaconsfield,Que.,Defence,32,5.67,68,25
18,Women,Canada,Laura,Fortino,137,5.4,30-01-1991,Hamilton,Ont.,Defence,31,5.33,64,24
19,Women,Canada,Meaghan,Mikkelson,139,5.9,04-01-1985,St. Albert,Alta.,Defence,37,5.75,69,21
20,Women,Canada,Renata,Fast,144,5.6,06-10-1994,Burlington,Ont.,Defence,27,5.5,66,23
21,Women,Canada,Shannon,Szabados,146,5.8,06-08-1986,Edmonton,Alta.,Goalie,35,5.67,68,22
22,Women,Canada,Geneviève,Lacasse,136,5.8,05-05-1989,Kingston,Ont.,Goalie,33,5.67,68,21
23,Women,Canada,Ann-Renée,Desbiens,160,5.9,10-04-1994,La Malbaie,Que.,Goalie,28,5.75,69,24
24,Men,Canada,Gilbert,Brulé,190,5.11,01-01-1987,Vancouver,B.C.,Forward,35,5.92,71,26
25,Men,Canada,Wojtek,Wolski,220,6.3,24-02-1986,Toronto,Ont.,Forward,36,6.25,75,27
26,Men,Canada,Derek,Roy,187,5.9,04-05-1983,Rockland,Ont.,Forward,39,5.75,69,28
27,Men,Canada,Chris,Kelly,194,6,11-11-1980,Toronto,Ont.,Forward,41,6,72,26
28,Men,Canada,Rob,Klinkhammer,214,6.3,12-08-1986,Lethbridge,Alta.,Forward,35,6.25,75,27
29,Men,Canada,Brandon,Kozun,170,5.8,08-03-1990,Calgary,Alta.,Forward,32,5.67,68,26
30,Men,Canada,Quinton,Howden,190,6.2,21-01-1992,Oakbank,Man.,Forward,30,6.17,74,24
31,Men,Canada,René,Bourque,216,6.2,10-12-1981,Lac La Biche,Alta.,Forward,40,6.17,74,28
32,Men,Canada,Andrew,Ebbett,176,5.9,02-01-1983,Vernon,B.C.,Forward,39,5.75,69,26
33,Men,Canada,Mason,Raymond,179,6.1,17-09-1985,Cochrane,Alta.,Forward,36,6.08,73,24
34,Men,Canada,Eric,O’Dell,201,6.1,21-06-1990,Ottawa,Ont.,Forward,32,6.08,73,27
35,Men,Canada,Maxim,Lapierre,216,6,29-03-1985,Brossard,Que.,Forward,37,6,72,29
36,Men,Canada,Linden,Vey,190,6,17-07-1991,Wakaw,Sask.,Forward,30,6,72,26
37,Men,Canada,Christian,Thomas,174,5.9,26-05-1992,Toronto,Ont.,Forward,30,5.75,69,26
38,Men,Canada,Karl,Stollery,181,5.11,21-11-1987,Camrose,Alta.,Defence,34,5.92,71,25
39,Men,Canada,Chris,Lee,187,6,03-10-1980,MacTier,Ont.,Defence,41,6,72,25
40,Men,Canada,Chay,Genoway,170,5.9,20-12-1986,Morden,Man.,Defence,35,5.75,69,25
41,Men,Canada,Marc-Andre,Gragnani,205,6.3,11-03-1987,L’Île-Bizard,Que.,Defence,35,6.25,75,26
42,Men,Canada,Stefan,Elliott,190,6.1,30-01-1991,Vancouver,B.C.,Defence,31,6.08,73,25
43,Men,Canada,Cody,Goloubef,200,6.1,30-11-1989,Oakville,Ont.,Defence,32,6.08,73,26
44,Men,Canada,Mat,Robinson,185,5.1,20-06-1986,Calgary,Alta.,Defence,36,5.83,70,27
45,Men,Canada,Maxim,Noreau,198,6,24-05-1987,Montreal,Que.,Defence,35,6,72,27
46,Men,Canada,Ben,Scrivens,181,6.2,11-09-1986,Spruce Grove,Alta.,Goalie,35,6.17,74,23
47,Men,Canada,Kevin,Poulin,205,6.2,12-04-1990,Montreal,Que.,Goalie,32,6.17,74,26
48,Men,Canada,Justin,Peters,210,6.1,,Blyth,Ont.,Goalie,122,6.08,73,28
49,Women,USA,Cayla,Barnes,145,5.1,07-01-1999,Eastvale,Calif.,Defence,23,5.08,61,27
50,Women,USA,Kacey,Bellamy,145,5.7,22-04-1987,Westfield,Mass.,Defence,35,5.58,67,23
51,Women,USA,Hannah,Brandt,150,5.6,27-11-1993,Vadnais Heights,Minn.,Forward,28,5.5,66,24
52,Women,USA,Dani,Cameranesi,,5.5,,Plymouth,Minn.,Forward,122,5.42,65,0
53,Women,USA,Kendall,Coyne,123,5.2,25-05-1992,Palos Heights,Ill.,Forward,30,5.17,62,22
54,Women,USA,Brianna,Decker,150,5.4,13-05-1991,Dousman,Wis.,Forward,31,5.33,64,26
55,Women,USA,Meghan,Duggan,,5.1,03-09-1987,Danvers,Mass.,Forward,34,5.83,70,0
